# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 5571447865
#
# Overhead  Command          Shared Object       Symbol                                    
# ........  ...............  ..................  ..........................................
#
     2.17%  java             [JIT] tid 29344     [.] 0x00007f7c6842b67d
     1.98%  java             [JIT] tid 29344     [.] 0x00007f7c6842b7a4
     1.77%  java             [JIT] tid 29344     [.] 0x00007f7c6842bb1b
     1.64%  java             [JIT] tid 29344     [.] 0x00007f7c6842b9e4
     1.55%  GC Thread#1      libjvm.so           [.] 0x0000000000782cab
     1.50%  G1 Conc#0        libjvm.so           [.] 0x00000000007487c5
     1.41%  GC Thread#2      libjvm.so           [.] 0x0000000000782cab
     1.35%  GC Thread#0      libjvm.so           [.] 0x0000000000782cab
     1.11%  G1 Conc#0        libjvm.so           [.] 0x000000000079401a
     1.10%  GC Thread#0      libjvm.so           [.] 0x00000000007852fb
     1.06%  GC Thread#1      libjvm.so           [.] 0x00000000007852fb
     0.96%  GC Thread#2      libjvm.so           [.] 0x00000000007852fb
     0.95%  java             [unknown]           [k] 0xffffffff9ea00b07
     0.92%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c98
     0.88%  GC Thread#3      libjvm.so           [.] 0x0000000000782cab
     0.69%  GC Thread#1      libjvm.so           [.] 0x000000000078571f
     0.67%  GC Thread#3      libjvm.so           [.] 0x00000000007852fb
     0.66%  GC Thread#0      libjvm.so           [.] 0x000000000078571f
     0.54%  GC Thread#2      libjvm.so           [.] 0x000000000078571f
     0.53%  java             [JIT] tid 29344     [.] 0x00007f7c60a456a4
     0.52%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c40
     0.51%  java             [JIT] tid 29344     [.] 0x00007f7c6842bd1d
     0.44%  G1 Conc#0        libjvm.so           [.] 0x0000000000794022
     0.42%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c44
     0.41%  java             [JIT] tid 29344     [.] 0x00007f7c6842c24c
     0.40%  java             [JIT] tid 29344     [.] 0x00007f7c6842bf98
     0.37%  GC Thread#3      libjvm.so           [.] 0x000000000078571f
     0.36%  java             [JIT] tid 29344     [.] 0x00007f7c6842b4e5
     0.34%  G1 Refine#0      libjvm.so           [.] 0x000000000080eccc
     0.32%  G1 Conc#0        libjvm.so           [.] 0x00000000007487f1
     0.26%  GC Thread#1      libjvm.so           [.] 0x0000000000782eb4
     0.25%  GC Thread#2      libjvm.so           [.] 0x00000000007852e0
     0.25%  java             [JIT] tid 29344     [.] 0x00007f7c6842be31
     0.24%  GC Thread#0      libjvm.so           [.] 0x0000000000782d7c
     0.24%  GC Thread#0      libjvm.so           [.] 0x0000000000782eb4
     0.23%  GC Thread#1      libjvm.so           [.] 0x0000000000782d7c
     0.21%  GC Thread#3      libjvm.so           [.] 0x0000000000782d7c
     0.20%  GC Thread#3      libjvm.so           [.] 0x0000000000782dce
     0.19%  GC Thread#2      libjvm.so           [.] 0x0000000000782eb4
     0.19%  GC Thread#1      libjvm.so           [.] 0x0000000000795a5a
     0.18%  GC Thread#1      libjvm.so           [.] 0x00000000007852e0
     0.18%  GC Thread#2      libjvm.so           [.] 0x0000000000795a5a
     0.18%  java             [JIT] tid 29344     [.] 0x00007f7c6842ba1e
     0.17%  java             libjvm.so           [.] 0x0000000000d14785
     0.17%  GC Thread#2      libjvm.so           [.] 0x0000000000782eb0
     0.16%  java             [JIT] tid 29344     [.] 0x00007f7c6842b8ca
     0.16%  GC Thread#0      libjvm.so           [.] 0x0000000000795a5a
     0.16%  java             [JIT] tid 29344     [.] 0x00007f7c6096af68
     0.15%  GC Thread#0      libjvm.so           [.] 0x00000000007852e0
     0.15%  G1 Refine#0      libjvm.so           [.] 0x00000000007933f6
     0.15%  G1 Refine#0      libjvm.so           [.] 0x0000000000793822
     0.15%  GC Thread#1      libjvm.so           [.] 0x0000000000786f6b
     0.15%  GC Thread#1      libjvm.so           [.] 0x0000000000785723
     0.15%  GC Thread#3      libjvm.so           [.] 0x00000000007852e0
     0.14%  G1 Refine#0      libjvm.so           [.] 0x0000000000793410
     0.14%  GC Thread#3      libjvm.so           [.] 0x0000000000795a5a
     0.14%  GC Thread#2      libjvm.so           [.] 0x0000000000782d7c
     0.14%  GC Thread#1      libjvm.so           [.] 0x000000000079552a
     0.14%  java             [JIT] tid 29344     [.] 0x00007f7c6842b61e
     0.14%  java             [JIT] tid 29344     [.] 0x00007f7c6842b6d1
     0.14%  GC Thread#1      libjvm.so           [.] 0x0000000000782eb0
     0.13%  java             [JIT] tid 29344     [.] 0x00007f7c6842b8a8
     0.13%  GC Thread#1      libjvm.so           [.] 0x0000000000795a63
     0.13%  GC Thread#3      libjvm.so           [.] 0x0000000000782eb4
     0.13%  java             [JIT] tid 29344     [.] 0x00007f7c6842ba38
     0.13%  java             [JIT] tid 29344     [.] 0x00007f7c6842b813
     0.12%  java             [JIT] tid 29344     [.] 0x00007f7c6842baac
     0.12%  java             [JIT] tid 29344     [.] 0x00007f7c6842b95e
     0.12%  java             [JIT] tid 29344     [.] 0x00007f7c6842b84b
     0.12%  GC Thread#0      libjvm.so           [.] 0x0000000000782ed1
     0.12%  GC Thread#0      libjvm.so           [.] 0x00000000007954cf
     0.12%  GC Thread#1      libjvm.so           [.] 0x00000000007852a0
     0.12%  GC Thread#2      libjvm.so           [.] 0x0000000000782dce
     0.12%  GC Thread#0      libjvm.so           [.] 0x0000000000782dce
     0.12%  java             [JIT] tid 29344     [.] 0x00007f7c6842b444
     0.12%  GC Thread#1      libjvm.so           [.] 0x0000000000785291
     0.12%  java             [JIT] tid 29344     [.] 0x00007f7c6842b4f4
     0.12%  GC Thread#3      libjvm.so           [.] 0x0000000000786f6b
     0.12%  GC Thread#1      libjvm.so           [.] 0x000000000078524e
     0.12%  GC Thread#0      libjvm.so           [.] 0x000000000079552a
     0.11%  G1 Refine#0      libjvm.so           [.] 0x0000000000793431
     0.11%  G1 Refine#0      libjvm.so           [.] 0x000000000080ecc5
     0.11%  G1 Refine#0      libjvm.so           [.] 0x00000000007933f0
     0.11%  GC Thread#1      libjvm.so           [.] 0x0000000000795a2d
     0.11%  G1 Refine#0      libjvm.so           [.] 0x0000000000793427
     0.11%  java             [JIT] tid 29344     [.] 0x00007f7c6842ba99
     0.11%  java             [JIT] tid 29344     [.] 0x00007f7c6842badc
     0.11%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822e61
     0.11%  G1 Refine#0      libjvm.so           [.] 0x000000000079381a
     0.11%  GC Thread#2      libjvm.so           [.] 0x0000000000782dca
     0.11%  java             [JIT] tid 29344     [.] 0x00007f7c6842b501
     0.11%  java             [JIT] tid 29344     [.] 0x00007f7c6842b847
     0.11%  GC Thread#2      libjvm.so           [.] 0x0000000000785723
     0.11%  GC Thread#1      libjvm.so           [.] 0x0000000000782dce
     0.11%  java             [JIT] tid 29344     [.] 0x00007f7c6842b7f9
     0.11%  java             [JIT] tid 29344     [.] 0x00007f7c6842b4df
     0.11%  G1 Refine#0      libjvm.so           [.] 0x000000000080eca4
     0.10%  GC Thread#1      libjvm.so           [.] 0x000000000078705f
     0.10%  GC Thread#2      libjvm.so           [.] 0x000000000079552a
     0.10%  G1 Refine#0      libjvm.so           [.] 0x0000000000793415
     0.10%  GC Thread#0      libjvm.so           [.] 0x000000000078524e
     0.10%  G1 Refine#0      libjvm.so           [.] 0x000000000080ecc1
     0.10%  GC Thread#2      [unknown]           [k] 0xffffffff9ea00b07
     0.10%  GC Thread#0      [unknown]           [k] 0xffffffff9ea00b07
     0.10%  GC Thread#0      libjvm.so           [.] 0x0000000000795a2d
     0.10%  java             [JIT] tid 29344     [.] 0x00007f7c6842b537
     0.10%  GC Thread#2      libjvm.so           [.] 0x0000000000795a2d
     0.10%  java             [JIT] tid 29344     [.] 0x00007f7c6842b71b
     0.10%  java             [JIT] tid 29344     [.] 0x00007f7c60969f6b
     0.10%  GC Thread#1      libjvm.so           [.] 0x0000000000782dc0
     0.10%  GC Thread#3      libjvm.so           [.] 0x0000000000782eb0
     0.10%  GC Thread#0      libjvm.so           [.] 0x0000000000795a63
     0.10%  G1 Conc#0        libjvm.so           [.] 0x0000000000747093
     0.10%  GC Thread#2      libjvm.so           [.] 0x0000000000790673
     0.10%  GC Thread#1      libjvm.so           [.] 0x0000000000785212
