run:
Enter the total time to simulate for (minutes) : 720
REQNO	IAT	AT	SS	SE	ST	WAIT	IDLE
1	4	4	4	9	5	0	4
2	2	6	9	15	6	3	0
3	3	9	15	18	3	6	0
4	3	12	18	23	5	6	0
5	4	16	23	26	3	7	0
6	2	18	26	27	1	8	0
7	4	22	27	33	6	5	0
8	4	26	33	35	2	7	0
9	3	29	35	36	1	6	0
10	2	31	36	39	3	5	0
11	4	35	39	41	2	4	0
12	1	36	41	42	1	5	0
13	3	39	42	43	1	3	0
14	3	42	43	47	4	1	0
15	3	45	47	52	5	2	0
16	2	47	52	54	2	5	0
17	3	50	54	58	4	4	0
18	4	54	58	60	2	4	0
19	4	58	60	61	1	2	0
20	1	59	61	62	1	2	0
21	1	60	62	65	3	2	0
22	4	64	65	71	6	1	0
23	1	65	71	77	6	6	0
24	1	66	77	79	2	11	0
25	3	69	79	81	2	10	0
26	2	71	81	83	2	10	0
27	3	74	83	85	2	9	0
28	2	76	85	88	3	9	0
29	1	77	88	91	3	11	0
30	2	79	91	92	1	12	0
31	2	81	92	94	2	11	0
32	3	84	94	97	3	10	0
33	4	88	97	101	4	9	0
34	1	89	101	104	3	12	0
35	2	91	104	105	1	13	0
36	3	94	105	106	1	11	0
37	1	95	106	112	6	11	0
38	3	98	112	115	3	14	0
39	4	102	115	117	2	13	0
40	3	105	117	120	3	12	0
41	1	106	120	123	3	14	0
42	4	110	123	129	6	13	0
43	1	111	129	131	2	18	0
44	4	115	131	133	2	16	0
45	1	116	133	136	3	17	0
46	3	119	136	138	2	17	0
47	1	120	138	142	4	18	0
48	3	123	142	144	2	19	0
49	2	125	144	149	5	19	0
50	4	129	149	151	2	20	0
51	2	131	151	152	1	20	0
52	2	133	152	156	4	19	0
53	3	136	156	162	6	20	0
54	2	138	162	168	6	24	0
55	3	141	168	174	6	27	0
56	2	143	174	176	2	31	0
57	3	146	176	179	3	30	0
58	2	148	179	181	2	31	0
59	3	151	181	185	4	30	0
60	1	152	185	191	6	33	0
61	4	156	191	197	6	35	0
62	4	160	197	199	2	37	0
63	2	162	199	202	3	37	0
64	2	164	202	206	4	38	0
65	2	166	206	211	5	40	0
66	1	167	211	213	2	44	0
67	1	168	213	218	5	45	0
68	3	171	218	222	4	47	0
69	1	172	222	223	1	50	0
70	3	175	223	229	6	48	0
71	1	176	229	230	1	53	0
72	4	180	230	233	3	50	0
73	4	184	233	238	5	49	0
74	3	187	238	240	2	51	0
75	1	188	240	241	1	52	0
76	2	190	241	242	1	51	0
77	3	193	242	247	5	49	0
78	1	194	247	248	1	53	0
79	3	197	248	252	4	51	0
80	2	199	252	255	3	53	0
81	3	202	255	257	2	53	0
82	1	203	257	263	6	54	0
83	2	205	263	267	4	58	0
84	1	206	267	269	2	61	0
85	3	209	269	273	4	60	0
86	3	212	273	276	3	61	0
87	3	215	276	281	5	61	0
88	1	216	281	286	5	65	0
89	4	220	286	287	1	66	0
90	3	223	287	288	1	64	0
91	1	224	288	289	1	64	0
92	3	227	289	294	5	62	0
93	1	228	294	295	1	66	0
94	4	232	295	296	1	63	0
95	4	236	296	299	3	60	0
96	3	239	299	301	2	60	0
97	4	243	301	307	6	58	0
98	2	245	307	312	5	62	0
99	2	247	312	318	6	65	0
100	2	249	318	320	2	69	0
101	2	251	320	322	2	69	0
102	1	252	322	325	3	70	0
103	1	253	325	329	4	72	0
104	1	254	329	333	4	75	0
105	1	255	333	334	1	78	0
106	3	258	334	339	5	76	0
107	4	262	339	345	6	77	0
108	4	266	345	348	3	79	0
109	2	268	348	350	2	80	0
110	1	269	350	355	5	81	0
111	4	273	355	360	5	82	0
